exact_course_name,category,course_format,location,course_name,order_id,anon_purchaser_name,order_creation_date,event_created_date,event_start_date,event_end_date,gross_revenue,ticket_revenue,pre_gst_revenue,gst,discount,comments,ticket_class_name
Pygame Intro BT,Basics,Weekly,BT,Pygame Basics,3000281854,A1,06/01/23,01/01/23,11/01/23,31/01/23,300,276.0,279.0,21.0,0,,Standard
Level Compu Sec 3 Bukit Timah,Academics,Weekly,Bukit Timah Center,O Level Computing,3000667843,A2,06/01/23,01/01/23,11/01/23,31/01/23,300,276.0,279.0,21.0,0,,Standard
Master C Holiday Program,Basics,Weekly,Bishan,Junior Master Class,3000599092,A3,06/01/23,01/01/23,11/01/23,21/01/23,300,276.0,279.0,21.0,0,,Standard
1(html Basics Course,Coding,Weekly,BT,Web Programming 1,3000445366,A4,06/01/23,01/01/23,11/01/23,26/01/23,300,276.0,279.0,21.0,0,,Standard
2(html Advanced Course,Coding,Weekly,TP,Web Programming 2,3000238992,A5,06/01/23,01/01/23,11/01/23,26/01/23,300,276.0,279.0,21.0,0,,Standard
Basics1 Intro,0,Weekly,MP,Basics 1,3000289086,A6,06/01/23,01/01/23,11/01/23,26/01/23,300,276.0,279.0,21.0,0,,Standard
11-18yr Open House,Basics,Open House,0,Python: Online Open House,3000954140,A7,06/01/23,01/01/23,11/01/23,12/03/23,0,0.0,0.0,0.0,0,,Standard
Principles Course,Principles,Weekly,BT,principles+ 1,3000215425,A8,06/01/23,01/01/23,11/01/23,20/02/23,300,276.0,279.0,21.0,0,,Standard
Principles Course,Principles,Weekly,TP,principles+ 2,3000001277,A9,06/01/23,01/01/23,11/01/23,20/02/23,300,276.0,279.0,21.0,0,,Standard
Principles X,Principles,Weekly,MP,principles x Design,3000524349,A10,06/01/23,01/01/23,11/01/23,10/02/23,300,276.0,279.0,21.0,0,,Standard
Python Basics BT,Basics,Weekly,BT,Python Basics,3000670692,A11,06/01/23,01/01/23,11/01/23,31/01/23,300,276.0,279.0,21.0,0,,Standard
Junior Python 1 TP,Basics,Weekly,TP,Junior Python 1,3000411304,A12,06/01/23,01/01/23,11/01/23,05/02/23,300,276.0,279.0,21.0,0,,Standard
Junior Python 2 MP,Principles,Weekly,MP,Junior Python 2,3000572058,A13,06/01/23,01/01/23,11/01/23,05/02/23,300,276.0,279.0,21.0,0,,Standard
Junior Python 3 Online,Principles,Weekly,Online,Junior Python 3,3000078807,A14,06/01/23,01/01/23,11/01/23,05/02/23,300,276.0,279.0,21.0,0,,Standard
Web Programming 1,Coding,Weekly,Bishan,Web Programming 1,3000250523,A15,06/01/23,01/01/23,11/01/23,26/01/23,300,276.0,279.0,21.0,0,,Standard
BT Python Camp,Basics,0,0,Python Basics,3000415025,A16,06/01/23,01/01/23,11/01/23,16/01/23,300,276.0,279.0,21.0,0,,Standard
Bukit Timah Coding,Basics,Weekly,Bukit Timah,Python Basics,3000010551,A17,06/01/23,01/01/23,11/01/23,31/01/23,300,276.0,279.0,21.0,0,,Standard
Tampines Coding,Basics,Weekly,Tampines Hub,Python Basics,3000891858,A18,06/01/23,01/01/23,11/01/23,31/01/23,300,276.0,279.0,21.0,0,,Standard
Marine Parade Camp,Basics,0,0,Python Basics,3000504351,A19,06/01/23,01/01/23,11/01/23,16/01/23,300,276.0,279.0,21.0,0,,Standard
Bishan Coding,Basics,Weekly,Bishan CC,Python Basics,3000861960,A20,06/01/23,01/01/23,11/01/23,31/01/23,300,276.0,279.0,21.0,0,,Standard
Deep Learning Trip SG,Basics,Trip,0,Deep Learning Intro,3000426358,A21,06/01/23,01/01/23,11/01/23,12/01/23,300,276.0,279.0,21.0,0,,Standard
Free Python Trial,Basics,Open House,0,Free Trial Class,3000565924,A22,06/01/23,01/01/23,11/01/23,11/01/23,0,0.0,0.0,0.0,0,,Standard
Python Online,Basics,Weekly,0,Python Basics,3000791026,A23,06/01/23,01/01/23,11/01/23,15/02/23,300,276.0,279.0,21.0,0,,Standard
Regular Open House,Basics,Open House,Online,Python Basics,3000854103,A24,06/01/23,01/01/23,11/01/23,11/02/23,100,92.0,93.0,7.0,0,,Standard
Holiday Camp Bishan,Basics,0,Bishan,Pygame Camp,3000259563,A25,06/01/23,01/01/23,11/01/23,15/01/23,300,276.0,279.0,21.0,0,,Standard
Short Workshop,Basics,Workshop,TP,Python Intro,3000505137,A26,06/01/23,01/01/23,11/01/23,12/01/23,80,73.6,74.4,5.6,0,,Standard
Junior Python Combo,Principles,Weekly,BT,Junior Python 2,2214716149,Combo A,06/01/23,01/01/23,11/01/23,10/02/23,779,716.68,724.47,54.53,0,,combo jp2 + p3 bundle
Junior Python Combo,Principles,Weekly,BT,Junior Python 3,2214885299,Combo A,06/01/23,01/01/23,11/01/23,10/02/23,0,0.0,0.0,0.0,0,,Standard
BT Transfer Source,Basics,Weekly,BT,Python Basics,1510937679,Transfer Src,06/01/23,01/01/23,11/01/23,10/02/23,350,322.0,325.5,24.5,0,Transferred to 2354525009,Standard
BT Transfer Dest,Basics,Weekly,BT,Python Basics,2354525009,Transfer Dest,06/01/23,01/01/23,11/01/23,10/02/23,0,0.0,0.0,0.0,0,,Standard
